Item Taken: Thieving cape [9777, 1 - position=[3082, 3505, 0]] - 2015-03-23 19:06:35.820
Item Taken: Diamond [1601, 1 - position=[3082, 3505, 0]] - 2015-03-23 19:06:36.426
Item Taken: Diamond [1601, 1 - position=[3082, 3505, 0]] - 2015-03-23 19:06:38.827
Item Taken: Diamond [1601, 1 - position=[3082, 3505, 0]] - 2015-03-23 19:06:39.427
Item Taken: Diamond [1601, 1 - position=[3082, 3505, 0]] - 2015-03-23 19:06:40.019
Item Taken: Diamond [1601, 1 - position=[3082, 3505, 0]] - 2015-03-23 19:06:40.620
Item Taken: Diamond [1601, 1 - position=[3082, 3505, 0]] - 2015-03-23 19:06:41.226
Item Taken: Diamond [1601, 1 - position=[3082, 3505, 0]] - 2015-03-23 19:06:41.826
Item Taken: Diamond [1601, 1 - position=[3082, 3505, 0]] - 2015-03-23 19:06:42.420
Item Taken: Diamond [1601, 1 - position=[3082, 3505, 0]] - 2015-03-23 19:06:43.019
Item Taken: Gloves of silence [10075, 1 - position=[3082, 3505, 0]] - 2015-03-23 19:06:43.627
Item Taken: Diamond [1601, 1 - position=[3082, 3505, 0]] - 2015-03-23 19:06:44.227
Item Taken: Diamond [1601, 1 - position=[3082, 3505, 0]] - 2015-03-23 19:06:44.819
Item Taken: Diamond [1601, 1 - position=[3082, 3505, 0]] - 2015-03-23 19:06:45.420
Item Taken: Diamond [1601, 1 - position=[3082, 3505, 0]] - 2015-03-23 19:06:46.027
Item Taken: Diamond [1601, 1 - position=[3082, 3505, 0]] - 2015-03-23 19:06:46.620
Item Taken: Diamond [1601, 1 - position=[3082, 3505, 0]] - 2015-03-23 19:06:47.220
Item Taken: Diamond [1601, 1 - position=[3082, 3505, 0]] - 2015-03-23 19:06:47.826
Item Taken: Diamond [1601, 1 - position=[3082, 3505, 0]] - 2015-03-23 19:06:48.426
Item Taken: Thieving hood [9779, 1 - position=[3082, 3505, 0]] - 2015-03-23 19:06:49.019
Item Taken: Ring of fire [13659, 1 - position=[3082, 3505, 0]] - 2015-03-23 19:06:50.220
Item Taken: Chisel [1755, 1 - position=[3082, 3505, 0]] - 2015-03-23 19:06:52.020
Item Taken: Diamond [1601, 1 - position=[3082, 3505, 0]] - 2015-03-23 19:06:56.219
Item Taken: Diamond [1601, 1 - position=[3082, 3505, 0]] - 2015-03-23 19:06:56.820
Item Taken: Diamond [1601, 1 - position=[3082, 3505, 0]] - 2015-03-23 19:06:57.427
Item Taken: Diamond [1601, 1 - position=[3082, 3505, 0]] - 2015-03-23 19:06:58.020
Item Taken: Diamond [1601, 1 - position=[3082, 3505, 0]] - 2015-03-23 19:06:58.620
Item Taken: Diamond [1601, 1 - position=[3082, 3505, 0]] - 2015-03-23 19:06:59.226
Item Taken: Diamond [1601, 1 - position=[3082, 3505, 0]] - 2015-03-23 19:06:59.821
Item Taken: Cadantine seed [5301, 1 - position=[2687, 3724, 0]] - 2015-03-23 20:54:05.895
Item Taken: Gold charm [12158, 3 - position=[2687, 3724, 0]] - 2015-03-23 20:54:07.095
Item Taken: Gold charm [12158, 1 - position=[2686, 3725, 0]] - 2015-03-23 20:54:08.295
Item Taken: Clue scroll (medium) [2801, 1 - position=[2687, 3723, 0]] - 2015-03-23 20:59:33.494
Item Taken: Raw pheasant [6178, 1 - position=[2601, 4770, 36]] - 2015-03-25 03:31:06.013
