Item Taken: Grimy lantadyme [2486, 1 - position=[2672, 3712, 0]] - 2015-03-24 20:31:16.403
Item Taken: Onyx bolts (e) [9245, 1 - position=[2668, 3714, 0]] - 2015-03-24 20:32:34.397
Item Taken: Bones [526, 1 - position=[2668, 3715, 0]] - 2015-03-24 20:36:58.346
Item Taken: Bones [526, 1 - position=[2667, 3713, 0]] - 2015-03-24 20:37:04.358
Item Taken: Bones [526, 1 - position=[2665, 3714, 0]] - 2015-03-24 20:37:15.146
Item Taken: Bones [526, 1 - position=[2667, 3713, 0]] - 2015-03-24 20:37:16.945
Item Taken: Bones [526, 1 - position=[2666, 3716, 0]] - 2015-03-24 20:37:19.958
Item Taken: Bones [526, 1 - position=[2665, 3717, 0]] - 2015-03-24 20:37:21.746
Item Taken: Bones [526, 1 - position=[2666, 3717, 0]] - 2015-03-24 20:37:23.545
Item Taken: Bones [526, 1 - position=[2666, 3714, 0]] - 2015-03-24 20:37:28.345
Item Taken: Bones [526, 1 - position=[2677, 3719, 0]] - 2015-03-24 20:39:39.746
Item Taken: Bones [526, 1 - position=[2678, 3720, 0]] - 2015-03-24 20:39:42.758
Item Taken: Bones [526, 1 - position=[2679, 3719, 0]] - 2015-03-24 20:40:04.958
Item Taken: Grimy dwarf weed [218, 2 - position=[2679, 3719, 0]] - 2015-03-24 20:40:05.546
Item Taken: Bones [526, 1 - position=[2679, 3719, 0]] - 2015-03-24 20:40:06.758
Item Taken: Bones [526, 1 - position=[2679, 3719, 0]] - 2015-03-24 20:40:07.351
Item Taken: Bones [526, 1 - position=[2679, 3719, 0]] - 2015-03-24 20:40:07.956
Item Taken: Bones [526, 1 - position=[2679, 3719, 0]] - 2015-03-24 20:40:09.745
Item Taken: Bones [526, 1 - position=[2679, 3719, 0]] - 2015-03-24 20:40:10.946
Item Taken: Bones [526, 1 - position=[2679, 3719, 0]] - 2015-03-24 20:40:11.558
Item Taken: Bones [526, 1 - position=[2677, 3719, 0]] - 2015-03-24 20:40:18.758
Item Taken: Bones [526, 1 - position=[2677, 3719, 0]] - 2015-03-24 20:40:19.358
Item Taken: Bones [526, 1 - position=[2677, 3719, 0]] - 2015-03-24 20:40:21.146
Item Taken: Bones [526, 1 - position=[2679, 3719, 0]] - 2015-03-24 20:40:28.946
Item Taken: Bones [526, 1 - position=[2679, 3719, 0]] - 2015-03-24 20:40:30.146
Item Taken: Bones [526, 1 - position=[2679, 3719, 0]] - 2015-03-24 20:40:31.958
Item Taken: Bones [526, 1 - position=[2679, 3718, 0]] - 2015-03-24 20:40:43.347
