Item Taken: Coins [995, 201000 - position=[3095, 3486, 0]] - 2015-03-23 04:27:05.426
Item Taken: Bronze knife [864, 3 - position=[3154, 4276, 3]] - 2015-03-23 04:35:44.433
Item Taken: Bones [526, 1 - position=[2679, 3716, 0]] - 2015-03-23 04:40:43.235
Item Taken: Bones [526, 1 - position=[2679, 3716, 0]] - 2015-03-23 04:40:43.833
Item Taken: Bones [526, 1 - position=[2679, 3716, 0]] - 2015-03-23 04:40:48.035
Item Taken: Bones [526, 1 - position=[2680, 3715, 0]] - 2015-03-23 04:40:51.033
Item Taken: Bones [526, 1 - position=[2680, 3715, 0]] - 2015-03-23 04:40:51.635
Item Taken: Crimson charm [12160, 1 - position=[2680, 3715, 0]] - 2015-03-23 04:40:53.443
Item Taken: Bones [526, 1 - position=[2680, 3715, 0]] - 2015-03-23 04:40:54.034
Item Taken: Bones [526, 1 - position=[2680, 3715, 0]] - 2015-03-23 04:40:54.635
Item Taken: Bones [526, 1 - position=[2680, 3715, 0]] - 2015-03-23 04:40:55.234
Item Taken: Bronze thrownaxe [800, 1 - position=[2679, 3714, 0]] - 2015-03-23 04:40:58.835
Item Taken: Gold charm [12158, 5 - position=[2679, 3714, 0]] - 2015-03-23 04:41:01.236
Item Taken: Bones [526, 1 - position=[2679, 3714, 0]] - 2015-03-23 04:41:01.834
Item Taken: Bones [526, 1 - position=[2679, 3714, 0]] - 2015-03-23 04:41:02.436
Item Taken: Bones [526, 1 - position=[2679, 3714, 0]] - 2015-03-23 04:41:04.836
Item Taken: Bones [526, 1 - position=[2679, 3714, 0]] - 2015-03-23 04:41:05.434
Item Taken: Bones [526, 1 - position=[2679, 3714, 0]] - 2015-03-23 04:41:06.036
Item Taken: Green charm [12159, 2 - position=[2678, 3715, 0]] - 2015-03-23 04:41:09.036
Item Taken: Bones [526, 1 - position=[2678, 3715, 0]] - 2015-03-23 04:41:55.850
Item Taken: Gold charm [12158, 1 - position=[2679, 3715, 0]] - 2015-03-23 04:42:06.635
Item Taken: Bones [526, 1 - position=[2679, 3715, 0]] - 2015-03-23 04:42:07.249
Item Taken: Bones [526, 1 - position=[2679, 3715, 0]] - 2015-03-23 04:42:07.835
Item Taken: Bones [526, 1 - position=[2679, 3715, 0]] - 2015-03-23 04:42:14.450
Item Taken: Bones [526, 1 - position=[2679, 3715, 0]] - 2015-03-23 04:42:15.035
Item Taken: Bones [526, 1 - position=[2679, 3715, 0]] - 2015-03-23 04:42:18.034
Item Taken: Bones [526, 1 - position=[2679, 3715, 0]] - 2015-03-23 04:42:18.649
Item Taken: Bones [526, 1 - position=[2679, 3715, 0]] - 2015-03-23 04:42:21.635
Item Taken: Gloves [7462, 1 - position=[3564, 3290, 0]] - 2015-03-23 04:51:03.050
Item Taken: Dragon bolts (e) [9244, 80 - position=[3564, 3290, 0]] - 2015-03-23 04:51:03.649
Item Taken: Amulet of glory (4) [1712, 1 - position=[3564, 3290, 0]] - 2015-03-23 04:51:04.240
Item Taken: Rune crossbow [9185, 1 - position=[3564, 3290, 0]] - 2015-03-23 04:51:04.842
Item Taken: Red d'hide body [2501, 1 - position=[3564, 3290, 0]] - 2015-03-23 04:51:05.450
Item Taken: Red d'hide chaps [2495, 1 - position=[3564, 3290, 0]] - 2015-03-23 04:51:06.049
Item Taken: Ava's accumulator [10499, 1 - position=[3564, 3290, 0]] - 2015-03-23 04:51:06.642
Item Taken: Manta ray [391, 1 - position=[3564, 3290, 0]] - 2015-03-23 04:51:07.250
Item Taken: Manta ray [391, 1 - position=[3564, 3290, 0]] - 2015-03-23 04:51:07.855
Item Taken: Manta ray [391, 1 - position=[3564, 3290, 0]] - 2015-03-23 04:51:08.455
Item Taken: Prayer potion (3) [139, 1 - position=[3564, 3290, 0]] - 2015-03-23 04:51:09.049
Item Taken: Prayer potion (2) [141, 1 - position=[3564, 3290, 0]] - 2015-03-23 04:51:09.649
Item Taken: Prayer potion (1) [143, 1 - position=[3564, 3290, 0]] - 2015-03-23 04:51:10.255
Item Taken: Tokkul [6529, 5 - position=[2444, 5172, 0]] - 2015-03-23 05:11:19.856
Item Taken: Tokkul [6529, 5 - position=[2445, 5172, 0]] - 2015-03-23 05:11:27.055
Item Taken: Tokkul [6529, 5 - position=[2445, 5171, 0]] - 2015-03-23 05:11:34.256
