Item Taken: Coins [995, 399162 - position=[2681, 3718, 0]] - 2015-03-25 02:07:35.374
Item Taken: Crimson charm [12160, 2 - position=[2682, 3717, 0]] - 2015-03-25 02:08:46.775
Item Taken: Green charm [12159, 2 - position=[2682, 3717, 0]] - 2015-03-25 02:08:47.964
Item Taken: Green charm [12159, 2 - position=[2683, 3718, 0]] - 2015-03-25 02:08:50.364
Item Taken: Gold charm [12158, 2 - position=[2683, 3718, 0]] - 2015-03-25 02:08:51.575
Item Taken: Gold charm [12158, 1 - position=[2799, 10030, 0]] - 2015-03-25 02:30:16.194
Item Taken: Bones [3187, 1 - position=[2797, 10031, 0]] - 2015-03-25 02:30:21.593
Item Taken: Bones [3187, 1 - position=[2799, 10030, 0]] - 2015-03-25 02:30:24.579
Item Taken: Bones [3187, 1 - position=[2799, 10030, 0]] - 2015-03-25 02:30:25.793
Item Taken: Green charm [12159, 1 - position=[2799, 10030, 0]] - 2015-03-25 02:31:37.771
Item Taken: Gold charm [12158, 1 - position=[2797, 10031, 0]] - 2015-03-25 02:31:38.979
Item Taken: Bones [3187, 1 - position=[2798, 10031, 0]] - 2015-03-25 02:32:24.593
Item Taken: Bones [3187, 1 - position=[2799, 10030, 0]] - 2015-03-25 02:32:26.393
Item Taken: Bones [3187, 1 - position=[2799, 10030, 0]] - 2015-03-25 02:32:27.580
Item Taken: Bones [3187, 1 - position=[2797, 10031, 0]] - 2015-03-25 02:32:29.379
Item Taken: Bones [3187, 1 - position=[2795, 10031, 0]] - 2015-03-25 02:32:31.193
Item Taken: Bones [3187, 1 - position=[2795, 10031, 0]] - 2015-03-25 02:32:49.763
Item Taken: Bones [3187, 1 - position=[2792, 10031, 0]] - 2015-03-25 02:33:09.593
Item Taken: Bones [3187, 1 - position=[2793, 10031, 0]] - 2015-03-25 02:33:26.980
Item Taken: Bones [3187, 1 - position=[2792, 10031, 0]] - 2015-03-25 02:34:03.580
Item Taken: Bones [3187, 1 - position=[2790, 10031, 0]] - 2015-03-25 02:34:31.193
Item Taken: Bones [3187, 1 - position=[2795, 10031, 0]] - 2015-03-25 02:34:58.780
Item Taken: Rune kiteshield [1201, 1 - position=[2794, 10031, 0]] - 2015-03-25 02:35:26.980
Item Taken: Bones [3187, 1 - position=[2794, 10031, 0]] - 2015-03-25 02:35:44.393
Item Taken: Bones [3187, 1 - position=[2795, 10031, 0]] - 2015-03-25 02:36:02.980
Item Taken: Green charm [12159, 1 - position=[2794, 10031, 0]] - 2015-03-25 02:36:23.394
Item Taken: Bones [3187, 1 - position=[2794, 10031, 0]] - 2015-03-25 02:36:26.380
Item Taken: Bones [3187, 1 - position=[2790, 10031, 0]] - 2015-03-25 02:36:57.595
Item Taken: Bones [3187, 1 - position=[2795, 10031, 0]] - 2015-03-25 02:36:59.996
Item Taken: Bones [3187, 1 - position=[2790, 10031, 0]] - 2015-03-25 02:37:46.180
Item Taken: Bones [3187, 1 - position=[2793, 10031, 0]] - 2015-03-25 02:37:49.194
Item Taken: Bones [3187, 1 - position=[2791, 10031, 0]] - 2015-03-25 02:38:32.394
Item Taken: Silver ore [443, 100 - position=[2791, 10031, 0]] - 2015-03-25 02:38:35.395
Item Taken: Bones [3187, 1 - position=[2790, 10031, 0]] - 2015-03-25 02:39:23.995
Item Taken: Green charm [12159, 1 - position=[2790, 10031, 0]] - 2015-03-25 02:39:27.594
Item Taken: Gold charm [12158, 1 - position=[2790, 10031, 0]] - 2015-03-25 02:39:31.790
Item Taken: Bones [3187, 1 - position=[2790, 10031, 0]] - 2015-03-25 02:40:01.194
Item Taken: Blue charm [12163, 1 - position=[2790, 10031, 0]] - 2015-03-25 02:40:04.796
Item Taken: Bones [3187, 1 - position=[2790, 10031, 0]] - 2015-03-25 02:40:19.194
Item Taken: Camo helmet [6656, 1 - position=[2725, 3461, 0]] - 2015-03-25 02:57:53.395
