Item Taken: Manta ray [392, 250 - position=[3082, 3505, 0]] - 2015-03-23 06:02:04.591
Item Taken: Explorer's ring 1 [13560, 1 - position=[3082, 3505, 0]] - 2015-03-23 06:02:05.172
Item Taken: Battlefield cape [21406, 1 - position=[3082, 3505, 0]] - 2015-03-23 06:02:05.781
Item Taken: Gold charm [12158, 1 - position=[3188, 9581, 0]] - 2015-03-23 20:34:34.677
Item Taken: Thieving cape [9777, 1 - position=[3190, 9581, 0]] - 2015-03-23 20:36:07.080
Item Taken: Scroll [6758, 1 - position=[3190, 9581, 0]] - 2015-03-23 20:36:08.274
Item Taken: Ring of devotion [20054, 1 - position=[3190, 9581, 0]] - 2015-03-23 20:36:10.674
Item Taken: Thieving hood [9779, 1 - position=[3190, 9581, 0]] - 2015-03-23 20:36:11.274
Item Taken: Camo bottoms [6655, 1 - position=[3190, 9581, 0]] - 2015-03-23 20:36:11.880
Item Taken: Dragon spear [1249, 1 - position=[3430, 3574, 0]] - 2015-03-23 21:20:40.095
Item Taken: Uncut dragonstone [1631, 1 - position=[3433, 3575, 0]] - 2015-03-23 21:22:00.495
Item Taken: Tooth half of a key [985, 1 - position=[2756, 10008, 0]] - 2015-03-23 21:55:55.727
Item Taken: Rune bar [2363, 1 - position=[2756, 10008, 0]] - 2015-03-23 22:03:24.522
Item Taken: Big bones [532, 1 - position=[2574, 9895, 0]] - 2015-03-23 23:00:14.358
Item Taken: Bonecrusher [18337, 1 - position=[2575, 9895, 0]] - 2015-03-23 23:00:17.958
Item Taken: Uncut diamond [1618, 1 - position=[3413, 3570, 2]] - 2015-03-24 05:40:11.595
Item Taken: Coins [995, 219384 - position=[3416, 3567, 2]] - 2015-03-24 05:59:46.411
Item Taken: Rune bar [2364, 2 - position=[3416, 3567, 2]] - 2015-03-24 05:59:48.811
Item Taken: Abyssal whip [4151, 1 - position=[3416, 3567, 2]] - 2015-03-24 06:05:06.814
Item Taken: Dragon scimitar [4587, 1 - position=[3416, 3568, 2]] - 2015-03-24 06:10:03.827
Item Taken: Gloves [7462, 1 - position=[3416, 3568, 2]] - 2015-03-24 06:10:08.627
Item Taken: Strength cape (t) [9751, 1 - position=[3416, 3568, 2]] - 2015-03-24 06:10:09.218
Item Taken: Rock climbing boots [3105, 1 - position=[3416, 3568, 2]] - 2015-03-24 06:10:09.827
Item Taken: Granite shield [3122, 1 - position=[3416, 3568, 2]] - 2015-03-24 06:10:10.418
