Item Taken: Rune hatchet [1359, 1 - position=[3094, 3492, 0]] - 2015-03-24 00:20:03.611
Item Taken: Knife [946, 1 - position=[2727, 3464, 0]] - 2015-03-24 00:39:16.221
Item Taken: Knife [946, 1 - position=[2726, 3461, 0]] - 2015-03-24 00:40:45.020
Item Taken: Knife [946, 1 - position=[2727, 3463, 0]] - 2015-03-24 00:42:08.420
Item Taken: Knife [946, 1 - position=[2726, 3463, 0]] - 2015-03-24 00:43:43.821
Item Taken: Raw pheasant [6178, 1 - position=[2598, 4779, 160]] - 2015-03-24 00:48:12.021
Item Taken: Knife [946, 1 - position=[2726, 3463, 0]] - 2015-03-24 00:49:43.826
Item Taken: Knife [946, 1 - position=[2723, 3461, 0]] - 2015-03-24 00:51:12.622
Item Taken: Knife [946, 1 - position=[2719, 3461, 0]] - 2015-03-24 00:52:40.827
Item Taken: Knife [946, 1 - position=[2720, 3458, 0]] - 2015-03-24 00:54:19.222
Item Taken: Knife [946, 1 - position=[2720, 3458, 0]] - 2015-03-24 00:54:33.022
Item Taken: Knife [946, 1 - position=[2722, 3457, 0]] - 2015-03-24 00:55:52.836
Item Taken: Knife [946, 1 - position=[2722, 3457, 0]] - 2015-03-24 00:57:12.638
Item Taken: Knife [946, 1 - position=[2722, 3459, 0]] - 2015-03-24 00:59:28.841
Item Taken: Knife [946, 1 - position=[2724, 3461, 0]] - 2015-03-24 01:01:18.044
Item Taken: Knife [946, 1 - position=[2726, 3462, 0]] - 2015-03-24 01:02:37.245
Item Taken: Knife [946, 1 - position=[2726, 3462, 0]] - 2015-03-24 01:03:57.042
Item Taken: Knife [946, 1 - position=[2726, 3461, 0]] - 2015-03-24 01:05:20.443
Item Taken: Knife [946, 1 - position=[2727, 3460, 0]] - 2015-03-24 01:06:49.242
Item Taken: Knife [946, 1 - position=[2726, 3460, 0]] - 2015-03-24 01:08:18.046
Item Taken: Knife [946, 1 - position=[2724, 3461, 0]] - 2015-03-24 01:10:29.443
Item Taken: Knife [946, 1 - position=[2724, 3461, 0]] - 2015-03-24 01:12:15.644
Item Taken: Knife [946, 1 - position=[2723, 3460, 0]] - 2015-03-24 01:13:48.643
Item Taken: Knife [946, 1 - position=[2722, 3459, 0]] - 2015-03-24 01:15:25.242
Item Taken: Knife [946, 1 - position=[2726, 3460, 0]] - 2015-03-24 01:16:57.642
Item Taken: Knife [946, 1 - position=[2725, 3460, 0]] - 2015-03-24 01:18:54.044
Item Taken: Knife [946, 1 - position=[2724, 3462, 0]] - 2015-03-24 01:20:21.643
Item Taken: Knife [946, 1 - position=[2724, 3463, 0]] - 2015-03-24 01:21:49.245
Item Taken: Knife [946, 1 - position=[2723, 3465, 0]] - 2015-03-24 01:23:24.658
Item Taken: Mystery box [18768, 1 - position=[2599, 3420, 0]] - 2015-03-25 00:12:16.095
