Item Taken: Death rune [560, 27 - position=[3092, 3497, 0]] - 2015-03-23 14:05:00.683
Item Taken: Bones [526, 1 - position=[2682, 3716, 0]] - 2015-03-23 14:06:38.492
Item Taken: Bones [526, 1 - position=[2681, 3717, 0]] - 2015-03-23 14:06:42.687
Item Taken: Bones [526, 1 - position=[2681, 3715, 0]] - 2015-03-23 14:06:54.082
Item Taken: Bones [526, 1 - position=[2681, 3715, 0]] - 2015-03-23 14:06:55.287
Item Taken: Bones [526, 1 - position=[2686, 3720, 0]] - 2015-03-23 14:07:47.483
Item Taken: Bones [526, 1 - position=[2686, 3719, 0]] - 2015-03-23 14:08:26.495
Item Taken: Bones [526, 1 - position=[2687, 3724, 0]] - 2015-03-23 14:09:00.103
Item Taken: Bones [526, 1 - position=[2685, 3719, 0]] - 2015-03-23 14:09:26.487
Item Taken: Bones [526, 1 - position=[2685, 3720, 0]] - 2015-03-23 14:09:34.895
Item Taken: Bones [526, 1 - position=[2684, 3720, 0]] - 2015-03-23 14:10:16.895
Item Taken: Bones [526, 1 - position=[2685, 3720, 0]] - 2015-03-23 14:10:44.483
Item Taken: Bones [526, 1 - position=[2684, 3720, 0]] - 2015-03-23 14:11:01.287
Item Taken: Bones [526, 1 - position=[2683, 3718, 0]] - 2015-03-23 14:11:54.094
Item Taken: Bones [526, 1 - position=[2685, 3720, 0]] - 2015-03-23 14:11:57.094
Item Taken: Bones [526, 1 - position=[2685, 3719, 0]] - 2015-03-23 14:12:15.096
Item Taken: Bones [526, 1 - position=[2684, 3719, 0]] - 2015-03-23 14:12:45.696
Item Taken: Bones [526, 1 - position=[2685, 3719, 0]] - 2015-03-23 14:13:04.895
